title,link,snippet
A double attention graph network for link prediction on temporal graph,https://www.sciencedirect.com/science/article/pii/S1568494623000777,"Many data in the real world can be abstracted into the format of dynamic graph, and predicting the connection relationship between nodes in graph is a problem that is often …"
On the generalization discrepancy of spatiotemporal dynamics-informed graph convolutional networks,https://www.frontiersin.org/articles/10.3389/fmech.2024.1397131/full,"Graph neural networks (GNNs) have gained significant attention in diverse domains, ranging from urban planning to pandemic management. Ensuring both accuracy and …"
SPMGAE: Self-purified masked graph autoencoders release robust expression power,https://www.sciencedirect.com/science/article/pii/S0925231224014024,"To tackle the scarcity of labeled graph data, graph self-supervised learning (SSL) has branched into two paradigms: Generative methods and Contrastive methods. Inspired by …"
Traffic Flow Prediction with Swiss Open Data: A Deep Learning Approach,https://link.springer.com/chapter/10.1007/978-3-031-41138-0_20,"Open government data (OGD) are provided by the public sector and governments in an open, freely accessible format. Among various types of OGD, dynamic data generated by …"
Spatio-Temporal Graph Neural Networks for Accurate Crime Prediction,https://ieeexplore.ieee.org/abstract/document/10326223/,"As a matter of public safety and resource allocation, crime prediction is of paramount importance. As a result of applying data preprocessing techniques and a graph-based …"
Attentive graph structure learning embedded in deep spatial-temporal graph neural network for traffic forecasting,https://link.springer.com/article/10.1007/s10489-024-05291-7,"A smooth traffic flow is very crucial for an intelligent traffic system. Consequently, traffic forecasting is critical in achieving unwrinkled traffic flow. However, due to its spatial and …"
Dynamic Jacobi graph and trend-aware flow attention convolutional network for traffic forecasting,https://www.sciencedirect.com/science/article/pii/S1051200423002518,"Traffic forecasting which has attracted wide attention is the critical issue of the intelligent transportation systems. However, despite its prominent achievements, there are still some …"
FEDAF: frequency enhanced decomposed attention free transformer for long time series forecasting,https://link.springer.com/article/10.1007/s00521-024-09937-y,"Long time series forecasting (LTSF), which involves modeling relationships within long time series to predict future values, has extensive applications in domains such as weather …"
Noise-Aware Optimization for Mobile Crowdsensing-Based Travel Time Estimation,https://ieeexplore.ieee.org/abstract/document/10301479/,Predicting the estimated time of arrival (ETA) is crucial for ride-hailing platforms and autonomous vehicle systems. Although deep neural network-based models have …
WEST GCN-LSTM: Weighted Stacked Spatio-Temporal Graph Neural Networks for Regional Traffic Forecasting,https://arxiv.org/abs/2405.00570,"Regional traffic forecasting is a critical challenge in urban mobility, with applications to various fields such as the Internet of Everything. In recent years, spatio-temporal graph …"
