title,link,snippet
Exploring hierarchical graph representation for large-scale zero-shot image classification,https://link.springer.com/chapter/10.1007/978-3-031-20044-1_7,"The main question we address in this paper is how to scale up visual recognition of unseen classes, also known as zero-shot learning, to tens of thousands of categories as in the …"
Part-object progressive refinement network for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/10471325/,"Zero-shot learning (ZSL) recognizes unseen images by sharing semantic knowledge transferred from seen images, encouraging the investigation of associations between …"
What can knowledge bring to machine learning?—a survey of low-shot learning for structured data,https://dl.acm.org/doi/abs/10.1145/3510030,"Supervised machine learning has several drawbacks that make it difficult to use in many situations. Drawbacks include heavy reliance on massive training data, limited …"
Benchmarking knowledge-driven zero-shot learning,https://www.sciencedirect.com/science/article/pii/S1570826822000415,External knowledge (aka side information) plays a critical role in zero-shot learning (ZSL) which aims to predict with unseen classes that have never appeared in training data …
A survey on knowledge-enhanced multimodal learning,https://link.springer.com/article/10.1007/s10462-024-10825-z,"Multimodal learning has been a field of increasing interest, aiming to combine various modalities in a single joint representation. Especially in the area of visiolinguistic (VL) …"
Disentangled action recognition with knowledge bases,https://arxiv.org/abs/2207.01708,"Action in video usually involves the interaction of human with objects. Action labels are typically composed of various combinations of verbs and nouns, but we may not have …"
Leveraging knowledge graphs for zero-shot object-agnostic state classification,https://arxiv.org/abs/2307.12179,"We investigate the problem of Object State Classification (OSC) as a zero-shot learning problem. Specifically, we propose the first Object-agnostic State Classification (OaSC) …"
Generalised zero-shot learning for entailment-based text classification with external knowledge,https://ieeexplore.ieee.org/abstract/document/9821074/,"Text classification techniques have been substantially important to many smart computing applications, eg topic extraction and event detection. However, classification is always …"
Multi-view graph representation with similarity diffusion for general zero-shot learning,https://www.sciencedirect.com/science/article/pii/S089360802300357X,Zero-shot learning (ZSL) aims to predict unseen classes without using samples of these classes in model training. The ZSL has been widely used in many knowledge-based models …
Exploring the impact of knowledge graphs on zero-shot visual object state classification,https://www.scitepress.org/Papers/2024/124348/124348.pdf,"In this work, we explore the potential of Knowledge Graphs (KGs) towards an effective Zero-Shot Learning (ZSL) approach for Object State Classification (OSC) in images. For this …"
