title,link,snippet
Knowledge Graph Enhancement for Fine-grained Zero-shot Learning on ImageNet21K,https://ieeexplore.ieee.org/abstract/document/10517649/,Fine-grained Zero-shot Learning on the large-scale dataset ImageNet21K is an important task that has promising perspectives in many real-world scenarios. One typical solution is to …
CGUN-2A: Deep graph convolutional network via contrastive learning for large-scale zero-shot image classification,https://www.mdpi.com/1424-8220/22/24/9980,Taxonomy illustrates that natural creatures can be classified with a hierarchy. The connections between species are explicit and objective and can be organized into a …
Towards neural network interpretability using commonsense knowledge graphs,https://link.springer.com/chapter/10.1007/978-3-031-19433-7_5,"Convolutional neural networks (CNNs) classify images by learning intermediate representations of the input throughout many layers. In recent work, latent representations of …"
Tight lower bounds on worst-case guarantees for zero-shot learning with attributes,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7c9b9ecc92a679f1b6c76ed8f99f2636-Abstract-Conference.html,"We develop a rigorous mathematical analysis of zero-shot learning with attributes. In this setting, the goal is to label novel classes with no training data, only detectors for attributes …"
Zero-shot Object Classification with Large-scale Knowledge Graph,https://openaccess.thecvf.com/content/CVPR2023W/L3D-IVU/html/Shiba_Zero-Shot_Object_Classification_With_Large-Scale_Knowledge_Graph_CVPRW_2023_paper.html,Zero-shot learning is used to predict unseen categories and can solve problems such as dealing with unseen categories that were not anticipated at the time of training and the lack …
Multimodal Semantic Fusion for Zero-Shot Learning,https://ieeexplore.ieee.org/abstract/document/10688093/,Zero-shot learning (ZSL) aims to predict classes that have never appeared in the training stage. The key to addressing those unseen classes is to transfer knowledge from seen …
Understanding substructures in commonsense relations in conceptnet,https://arxiv.org/abs/2210.01263,"Acquiring commonsense knowledge and reasoning is an important goal in modern NLP research. Despite much progress, there is still a lack of understanding (especially at scale) …"
Zero-shot fine-grained entity typing in information security based on ontology,https://www.sciencedirect.com/science/article/pii/S0950705121007346,"The field of information security suffers from the lack of labelled entities. This study proposes a zero-shot hybrid approach, combining a clustering algorithm with a method for …"
Top2Label: Explainable zero shot topic labelling using knowledge graphs,https://www.sciencedirect.com/science/article/pii/S0957417423031780,"Automatic topic labelling aims to generate coherent, interpretable, and meaningful labels to facilitate the interpretation of various topics within a corpus of documents. Typically, we …"
TAGLETS: A system for automatic semi-supervised learning with auxiliary data,https://proceedings.mlsys.org/paper_files/paper/2022/hash/294f82c43d69f66c04440cbb2740e52d-Abstract.html,"Abstract Machine learning practitioners often have access to a spectrum of data: labeled data for the target task (which is often limited), unlabeled data, and auxiliary data, the many …"
